KSHKOD;HELYES;KSHK;USERRATE;CONNECTIVI;LN_USE;LN_CONN;LN_POP;LN_BP_KM;TAXPAY;WAGE_POP;TV_POP;ISDN_CABLE;LIBR;BOOK;CULT;PC_ISK;INTISK;PCUSEISK;SALARY;TELCOM
1737;Aba;1737;26.6423;119.504;3.2825;4.78335;8.44312;4.40354;43.9586;610.677;5.4706;7.33104;6.22442;19.1834;0;9.69201;0.215378;91.751;1389.20872121509;0.06810253469073
1244;Abßdszal¡k;1244;19.1453;138.334;2.95206;4.92967;8.46105;5.02197;36.154;432.183;0;8.06452;10.8737;31.4222;18.6165;7.40427;0.211551;98.1595;1195.39555295494;-0.733451692327532
1254;Abaliget;1254;26.9865;125.828;3.29534;4.83491;6.50279;5.3914;37.7811;464.382;0;6.21118;0;0;0;11.994;1.49925;37.4813;1229.13888888889;-0.099689547273
2455;Abasßr;2455;28.4624;109.753;3.34858;4.69824;7.87131;4.41425;44.4105;721.192;21.9763;8.64765;7.59252;30.4221;0;7.24914;0.381534;50.744;1623.92182130584;0.960454081106988
1566;Abaÿjalpßr;1566;0;0;0;0;4.36945;5.40056;20.2532;233.861;0;9.52381;0;0;0;0;0;0;1154.6875;-0.357490514303095
2671;AbaÿjkÚr;2671;0;0;0;0;6.52503;5.38215;30.7918;374.96;13.1965;7.94702;0;0;0;30.7918;1.46628;73.3138;1217.72857142857;-0.485660235681521
282;Abaÿjlak;282;0;0;0;0;4.72739;5.37078;39.823;535.894;0;0;0;0;26.5487;0;0;0;1345.68888888889;-0.815941927873048
359;Abaÿjszßnt¡;359;21.3866;139.873;3.06276;4.94073;8.08055;5.37031;38.4092;510.859;15.0418;13.467;6.68524;26.6204;15.7846;23.5221;0.928505;195.296;1330.0443190975;-0.388584011203695
2633;Abaÿjszolnok;2633;7.69231;72;2.04022;4.27667;5.20401;5.35247;19.7802;122.368;13.1868;8;0;0;0;0;0;0;618.638888888889;-1.13908510290735
227;Abaÿjvßr;227;11.5132;158.486;2.44349;5.06566;5.71703;5.48492;22.0395;240.566;0;3.125;0;0;0;6.57895;3.28947;19.7368;1091.5223880597;-0.774534974693636
1188;Abda;1188;31.6995;160.668;3.4563;5.07934;8.03948;4.9035;50.0484;919.057;23.1538;9.42184;0;0;0;11.9316;0.322477;64.8178;1836.33762886598;1.18842853721096
1035;Abod;1035;7.65957;127.167;2.03596;4.8455;5.45959;5.39322;32.3404;410.26;0;0;0;0;0;0;0;0;1268.56578947368;-0.68255829777236
2787;Abony;2787;23.3894;115.272;3.15228;4.74729;9.65701;4.5326;39.2489;546.156;19.0455;6.96456;7.76022;27.939;1.27951;9.53234;0.319877;74.6593;1391.51768541157;0.0641741121661529
456;?brahßmhegy;456;34.1155;175.005;3.52975;5.16482;6.31716;5.10157;50.5415;772.969;44.4043;5.01393;0;0;39.7112;0;0;0;1529.375;1.3169868839609
442;?cs;442;24.4687;138.079;3.19739;4.92783;8.8882;4.59562;47.4331;761.063;23.0196;6.84492;7.10737;12.6369;4.55424;7.45239;0.414022;59.8951;1604.49985452429;0.869515296452235
1857;Acsa;1857;18.133;132.8;2.89773;4.88884;7.30586;4.10858;41.773;611.898;7.7233;4.4586;10.8126;21.0186;69.8455;17.4614;0.671592;87.9785;1464.81672025723;0.238953296447388
721;Acsßd;721;13.3427;119.274;2.59097;4.78142;6.56808;5.38339;38.4831;582.18;15.0281;2.86533;0;0;7.02247;0;0;0;1512.81751824818;1.05716313736825
3338;Acsalag;3338;14.2566;138.657;2.65722;4.932;6.19644;5.09718;43.5845;500.108;0;12.7907;0;0;10.1833;2.03666;0;8.14664;1147.44392523364;0.128637578277035
1813;?csteszÚr;1813;11.9178;125.839;2.47803;4.835;6.59304;4.80958;44.6575;647.049;12.0548;5.10204;0;0;0;21.9178;1.36986;31.5068;1448.91411042945;0.32707676782322
